RUN_ROOT	/Users/danielhook/Desktop/code_projects/legacy_sims/tmp/lane-probe-harness/dl-riftcore-bio-1773639579244
SUMMARY_JSON	/Users/danielhook/Desktop/code_projects/legacy_sims/tmp/lane-probe-harness/dl-riftcore-bio-1773639579244/summary.json
RANK	ID	TARGET_GAIN	CONTROL_MOVE	CONTRAST_MOVE	DEFAULT_REACH	SCORE	BOUND
1	refresh_hit_exact_dual_rift_bound	0.01	0.00	0.00	0	0.01	yes
2	off	0.00	0.00	0.00	0	0.00	no
3	refresh_skill_dl_riftcore_double_bio	0.00	0.00	0.00	0	0.00	no
4	refresh_hit_dl_riftcore_double_bio	-0.08	0.00	0.00	0	-0.08	no
5	refresh_full_dl_riftcore_double_bio	-0.08	0.00	0.00	0	-0.08	no
6	refresh_hit_exact_core_rift_bound	-0.09	0.00	0.00	0	-0.09	yes
7	refresh_hit_dual_projectile	0.00	0.00	0.12	1	-0.22	no
8	split_defender_dual_projectile	0.33	0.42	0.40	1	-0.59	no
9	w2gate_defender_dl_riftcore_double_bio	0.08	0.64	0.25	0	-0.80	no
10	refresh_hit_plus_w2gate_dl_riftcore_double_bio	-0.07	0.64	0.25	0	-0.95	no
11	split_defender_dl_riftcore_double_bio	-0.26	0.42	0.29	0	-0.96	no
12	refresh_hit_plus_split_dl_riftcore_double_bio	-0.26	0.42	0.29	0	-0.96	no
