RUN_ROOT	/Users/danielhook/Desktop/code_projects/legacy_sims/tmp/lane-probe-harness/reaper-first-mixed-melee-1773630299800
SUMMARY_JSON	/Users/danielhook/Desktop/code_projects/legacy_sims/tmp/lane-probe-harness/reaper-first-mixed-melee-1773630299800/summary.json
RANK	ID	TARGET_GAIN	CONTROL_MOVE	CONTRAST_MOVE	DEFAULT_REACH	SCORE	BOUND
1	refresh_hit_reaper_first	0.26	0.00	0.00	0	0.26	no
2	refresh_full_reaper_first	0.26	0.00	0.00	0	0.26	no
3	off	0.00	0.00	0.00	0	0.00	no
4	refresh_skill_reaper_first	0.00	0.00	0.00	0	0.00	no
5	split_reaper_first_w2gate	0.40	0.27	0.29	0	-0.15	no
6	refresh_hit_dual_melee	0.26	0.00	0.00	4	-0.15	no
7	refresh_hit_reaper_first_w2gate	0.31	0.26	0.23	0	-0.18	no
8	refresh_full_reaper_first_w2gate	0.31	0.26	0.23	0	-0.18	no
9	refresh_skill_dual_melee	0.00	0.00	0.00	4	-0.40	no
10	split_defender_dual_melee	0.44	0.21	0.30	4	-0.46	no
11	split_defender_global	0.44	0.15	0.37	15	-1.57	no
12	w2gate_defender_global	0.00	0.24	0.24	15	-1.99	no
