RUN_ROOT	/Users/danielhook/Desktop/code_projects/legacy_sims/tmp/lane-probe-harness/reaper-first-mixed-melee-1773630162804
SUMMARY_JSON	/Users/danielhook/Desktop/code_projects/legacy_sims/tmp/lane-probe-harness/reaper-first-mixed-melee-1773630162804/summary.json
RANK	ID	TARGET_GAIN	CONTROL_MOVE	CONTRAST_MOVE	DEFAULT_REACH	SCORE	BOUND
1	refresh_hit_reaper_first	0.25	0.00	0.00	0	0.25	no
2	refresh_full_reaper_first	0.25	0.00	0.00	0	0.25	no
3	split_defender_reaper_first	0.37	0.18	0.16	0	0.02	no
4	refresh_hit_reaper_first_w2gate	0.31	0.18	0.12	0	0.01	no
5	refresh_full_reaper_first_w2gate	0.31	0.18	0.12	0	0.01	no
6	off	0.00	0.00	0.00	0	0.00	no
7	refresh_skill_reaper_first	0.00	0.00	0.00	0	0.00	no
8	split_reaper_first_w2gate	0.31	0.21	0.12	0	-0.02	no
9	refresh_hit_dual_melee	0.25	0.00	0.00	4	-0.15	no
10	refresh_full_dual_melee	0.25	0.00	0.00	4	-0.15	no
11	split_defender_dual_melee	0.37	0.18	0.16	4	-0.38	no
12	refresh_skill_dual_melee	0.00	0.00	0.00	4	-0.40	no
13	split_defender_global	0.37	0.24	0.27	15	-1.64	no
14	w2gate_defender_global	-0.01	0.15	0.15	15	-1.81	no
