RUN_ROOT	/Users/danielhook/Desktop/code_projects/legacy_sims/tmp/lane-probe-harness/sg1-bombs-cluster-1773634139837
SUMMARY_JSON	/Users/danielhook/Desktop/code_projects/legacy_sims/tmp/lane-probe-harness/sg1-bombs-cluster-1773634139837/summary.json
RANK	ID	TARGET_GAIN	CONTROL_MOVE	CONTRAST_MOVE	DEFAULT_REACH	SCORE	BOUND
1	refresh_hit_sg1_bombs_w2	0.40	0.00	0.00	1	0.30	no
2	refresh_full_sg1_bombs_w2	0.40	0.00	0.00	1	0.30	no
3	refresh_hit_bombs_w2	0.40	0.14	0.00	1	0.16	no
4	refresh_full_bombs_w2	0.40	0.14	0.00	1	0.16	no
5	refresh_hit_rift_bombs_bio	0.16	0.00	0.00	0	0.16	yes
6	refresh_hit_dual_projectile	0.24	0.00	0.00	1	0.14	no
7	refresh_full_dual_projectile	0.24	0.00	0.00	1	0.14	no
8	refresh_hit_dual_bombs	0.24	0.00	0.00	1	0.14	yes
9	off	0.00	0.00	0.00	0	0.00	no
10	refresh_skill_dual_projectile	0.00	0.00	0.00	1	-0.10	no
11	refresh_skill_bombs_w2	0.00	0.00	0.00	1	-0.10	no
12	refresh_skill_sg1_bombs_w2	0.00	0.00	0.00	1	-0.10	no
13	split_defender_sg1_bombs_w2	0.34	0.21	0.26	1	-0.23	no
14	w2gate_sg1_bombs_w2	0.04	0.26	0.20	1	-0.51	no
15	w2gate_defender_global	0.04	0.24	0.25	15	-1.95	no
16	split_defender_global	0.34	0.15	0.79	15	-2.09	no
